# date	front	securityID	traded_qty   (from volstats: summed lastQty, outrights only)
20250506	NQM5	42005804	534123
20250507	NQM5	42005804	569589
20250508	NQM5	42005804	564251
20250509	NQM5	42005804	440936
20250511	NQM5	42005804	21036
20250512	NQM5	42005804	617455
20250513	NQM5	42005804	520868
20250514	NQM5	42005804	507151
20250515	NQM5	42005804	536088
20250516	NQM5	42005804	403133
20250518	NQM5	42005804	18598
20250519	NQM5	42005804	499497
20250520	NQM5	42005804	434963
20250521	NQM5	42005804	601669
20250522	NQM5	42005804	510812
20250523	NQM5	42005804	512924
20250525	NQM5	42005804	17106
20250526	NQM5	42005804	79994
20250527	NQM5	42005804	438248
20250528	NQM5	42005804	446811
20250529	NQM5	42005804	536962
20250530	NQM5	42005804	534512
20250601	NQM5	42005804	10796
20250602	NQM5	42005804	431298
20250603	NQM5	42005804	417787
20250604	NQM5	42005804	398381
20250605	NQM5	42005804	589877
20250606	NQM5	42005804	452215
20250608	NQM5	42005804	10529
20250609	NQM5	42005804	347024
20250610	NQM5	42005804	436948
20250611	NQM5	42005804	511295
20250612	NQM5	42005804	381631
20250613	NQM5	42005804	479712
20250615	NQM5	42005804	10232
20250616	NQU5	42008487	271780
20250617	NQU5	42008487	397034
20250618	NQU5	42008487	437323
20250619	NQU5	42008487	125570
20250620	NQU5	42008487	504219
20250622	NQU5	42008487	20319
20250623	NQU5	42008487	546701
20250624	NQU5	42008487	430967
20250625	NQU5	42008487	393706
20250626	NQU5	42008487	407909
20250627	NQU5	42008487	465793
20250629	NQU5	42008487	13097
20250630	NQU5	42008487	420866
20250701	NQU5	42008487	487132
20250702	NQU5	42008487	402251
20250703	NQU5	42008487	268078
20250704	NQU5	42008487	67530
20250706	NQU5	42008487	11841
20250707	NQU5	42008487	457781
20250708	NQU5	42008487	417098
20250709	NQU5	42008487	449801
20250710	NQU5	42008487	389692
20250711	NQU5	42008487	454293
20250713	NQU5	42008487	17349
20250714	NQU5	42008487	400069
20250715	NQU5	42008487	527533
20250716	NQU5	42008487	540204
20250717	NQU5	42008487	441917
20250718	NQU5	42008487	433275
20250720	NQU5	42008487	8172
20250721	NQU5	42008487	388591
20250722	NQU5	42008487	545155
20250723	NQU5	42008487	504160
20250724	NQU5	42008487	432763
20250725	NQU5	42008487	386629
20250727	NQU5	42008487	12792
20250728	NQU5	42008487	415044
20250729	NQU5	42008487	534375
20250730	NQU5	42008487	537634
20250731	NQU5	42008487	739900
20250801	NQU5	42008487	778077
20250803	NQU5	42008487	18927
20250804	NQU5	42008487	455971
20250805	NQU5	42008487	545253
20250806	NQU5	42008487	524200
20250807	NQU5	42008487	553898
20250808	NQU5	42008487	441093
20250810	NQU5	42008487	9595
20250811	NQU5	42008487	439173
20250812	NQU5	42008487	485497
20250813	NQU5	42008487	450446
20250814	NQU5	42008487	490018
20250815	NQU5	42008487	431475
