# date	front	securityID	traded_qty   (from volstats: summed lastQty, outrights only)
20251010	ESZ5	294973	2467917
20251012	ESZ5	294973	83934
20251013	ESZ5	294973	1666226
20251014	ESZ5	294973	2109344
20251015	ESZ5	294973	1956472
20251016	ESZ5	294973	2181794
20251017	ESZ5	294973	1995568
20251020	ESZ5	294973	1140200
20251021	ESZ5	294973	1256850
20251022	ESZ5	294973	1854519
20251023	ESZ5	294973	1322454
20251024	ESZ5	294973	1207739
20251027	ESZ5	294973	1122096
20251028	ESZ5	294973	1167534
20251029	ESZ5	294973	1490724
20251030	ESZ5	294973	1772435
20251031	ESZ5	294973	1684289
20251103	ESZ5	294973	1305419
20251104	ESZ5	294973	1645667
20251105	ESZ5	294973	1408285
20251106	ESZ5	294973	1781988
20251107	ESZ5	294973	2045859
20251110	ESZ5	294973	1526375
20251111	ESZ5	294973	1310516
20251112	ESZ5	294973	1363020
20251113	ESZ5	294973	2008035
20251114	ESZ5	294973	2030410
20251117	ESZ5	294973	1829595
20251118	ESZ5	294973	2474350
20251119	ESZ5	294973	2003476
20251120	ESZ5	294973	2907941
20251121	ESZ5	294973	2472904
20251124	ESZ5	294973	1559561
20251125	ESZ5	294973	1576245
20251126	ESZ5	294973	1389261
20251127	ESZ5	294973	83905
20251128	ESZ5	294973	319365
20251201	ESZ5	294973	1413782
20251202	ESZ5	294973	1399741
20251203	ESZ5	294973	1257213
20251204	ESZ5	294973	1277481
20251205	ESZ5	294973	1257111
20251208	ESZ5	294973	1161138
20251209	ESZ5	294973	930425
20251210	ESZ5	294973	1355010
20251211	ESZ5	294973	1527022
20251212	ESZ5	294973	1813281
20251215	ESH6	42140878	1186641
20251216	ESH6	42140878	1683829
20251217	ESH6	42140878	1597184
20251218	ESH6	42140878	1981088
20251219	ESH6	42140878	1261366
20251222	ESH6	42140878	937820
20251223	ESH6	42140878	825386
20251224	ESH6	42140878	421390
20251226	ESH6	42140878	591126
20251229	ESH6	42140878	842826
20251230	ESH6	42140878	736456
20251231	ESH6	42140878	912697
